Line,Memory (MB),Increment (MB),Occurrences,Code Line
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,925.6,925.6,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,849.9,849.9,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,915.4,915.4,1,@profile
123,849.9,849.9,1,@profile
123,929.5,929.5,1,@profile
123,925.5,925.5,1,@profile
123,925.5,925.5,1,@profile
123,929.5,929.5,1,@profile
123,915.4,915.4,1,@profile
123,925.5,925.5,1,@profile
123,849.9,849.9,1,@profile
123,915.4,915.4,1,@profile
123,915.4,915.4,1,@profile
123,925.6,925.6,1,@profile
123,849.9,849.9,1,@profile
123,904.3,904.3,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.0,929.0,1,@profile
123,898.6,898.6,1,@profile
123,929.0,929.0,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.0,929.0,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,898.6,898.6,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,929.5,929.5,1,@profile
123,898.6,898.6,1,@profile
123,929.0,929.0,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,898.5,898.5,1,@profile
123,925.6,925.6,1,@profile
123,929.5,929.5,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,925.6,925.6,1,@profile
123,898.5,898.5,1,@profile
123,904.3,904.3,1,@profile
123,929.5,929.5,1,@profile
123,925.6,925.6,1,@profile
123,904.3,904.3,1,@profile
123,904.3,904.3,1,@profile
